Local time - DST,P
2015-01-06 12:10:00+00:00,451.93
2015-01-06 13:10:00+00:00,241.77
2015-01-06 14:10:00+00:00,346.44
2015-01-06 15:10:00+00:00,223.65
2015-01-06 16:10:00+00:00,39.85
2015-01-06 17:10:00+00:00,0.0
2015-01-06 18:10:00+00:00,0.0
2015-01-06 19:10:00+00:00,0.0
2015-01-06 20:10:00+00:00,0.0
2015-01-06 21:10:00+00:00,0.0
2015-01-06 22:10:00+00:00,0.0
2015-01-06 23:10:00+00:00,0.0
2015-01-07 00:10:00+00:00,0.0
2015-01-07 01:10:00+00:00,0.0
2015-01-07 02:10:00+00:00,0.0
2015-01-07 03:10:00+00:00,0.0
2015-01-07 04:10:00+00:00,0.0
2015-01-07 05:10:00+00:00,0.0
2015-01-07 06:10:00+00:00,0.0
2015-01-07 07:10:00+00:00,0.0
2015-01-07 08:10:00+00:00,0.0
2015-01-07 09:10:00+00:00,110.43
2015-01-07 10:10:00+00:00,307.89
2015-01-07 11:10:00+00:00,404.36
2015-01-07 12:10:00+00:00,391.35
2015-01-07 13:10:00+00:00,157.1
2015-01-07 14:10:00+00:00,92.71
2015-01-07 15:10:00+00:00,63.68
2015-01-07 16:10:00+00:00,27.34
2015-01-07 17:10:00+00:00,0.0
2015-01-07 18:10:00+00:00,0.0
2015-01-07 19:10:00+00:00,0.0
2015-01-07 20:10:00+00:00,0.0
2015-01-07 21:10:00+00:00,0.0
2015-01-07 22:10:00+00:00,0.0
2015-01-07 23:10:00+00:00,0.0
2015-01-08 00:10:00+00:00,0.0
2015-01-08 01:10:00+00:00,0.0
2015-01-08 02:10:00+00:00,0.0
2015-01-08 03:10:00+00:00,0.0
2015-01-08 04:10:00+00:00,0.0
2015-01-08 05:10:00+00:00,0.0
2015-01-08 06:10:00+00:00,0.0
2015-01-08 07:10:00+00:00,0.0
2015-01-08 08:10:00+00:00,10.43
2015-01-08 09:10:00+00:00,161.59
2015-01-08 10:10:00+00:00,297.9
2015-01-08 11:10:00+00:00,250.9
2015-01-08 12:10:00+00:00,458.41
2015-01-08 13:10:00+00:00,437.24
2015-01-08 14:10:00+00:00,352.32
2015-01-08 15:10:00+00:00,109.38
2015-01-08 16:10:00+00:00,7.01
2015-01-08 17:10:00+00:00,0.0
2015-01-08 18:10:00+00:00,0.0
2015-01-08 19:10:00+00:00,0.0
2015-01-08 20:10:00+00:00,0.0
2015-01-08 21:10:00+00:00,0.0
2015-01-08 22:10:00+00:00,0.0
2015-01-08 23:10:00+00:00,0.0
2015-01-09 00:10:00+00:00,0.0
2015-01-09 01:10:00+00:00,0.0
2015-01-09 02:10:00+00:00,0.0
2015-01-09 03:10:00+00:00,0.0
2015-01-09 04:10:00+00:00,0.0
2015-01-09 05:10:00+00:00,0.0
2015-01-09 06:10:00+00:00,0.0
2015-01-09 07:10:00+00:00,0.0
2015-01-09 08:10:00+00:00,0.0
2015-01-09 09:10:00+00:00,101.43
2015-01-09 10:10:00+00:00,158.71
2015-01-09 11:10:00+00:00,131.35
2015-01-09 12:10:00+00:00,131.99
2015-01-09 13:10:00+00:00,306.46
2015-01-09 14:10:00+00:00,227.74
2015-01-09 15:10:00+00:00,155.54
2015-01-09 16:10:00+00:00,55.46
2015-01-09 17:10:00+00:00,0.0
2015-01-09 18:10:00+00:00,0.0
2015-01-09 19:10:00+00:00,0.0
2015-01-09 20:10:00+00:00,0.0
2015-01-09 21:10:00+00:00,0.0
2015-01-09 22:10:00+00:00,0.0
2015-01-09 23:10:00+00:00,0.0
2015-01-10 00:10:00+00:00,0.0
2015-01-10 01:10:00+00:00,0.0
2015-01-10 02:10:00+00:00,0.0
2015-01-10 03:10:00+00:00,0.0
2015-01-10 04:10:00+00:00,0.0
2015-01-10 05:10:00+00:00,0.0
2015-01-10 06:10:00+00:00,0.0
2015-01-10 07:10:00+00:00,0.0
2015-01-10 08:10:00+00:00,0.0
2015-01-10 09:10:00+00:00,51.18
2015-01-10 10:10:00+00:00,49.26
2015-01-10 11:10:00+00:00,78.21
2015-01-10 12:10:00+00:00,56.81
2015-01-10 13:10:00+00:00,95.72
2015-01-10 14:10:00+00:00,80.33
2015-01-10 15:10:00+00:00,49.31
2015-01-10 16:10:00+00:00,23.51
2015-01-10 17:10:00+00:00,0.0
2015-01-10 18:10:00+00:00,0.0
2015-01-10 19:10:00+00:00,0.0
2015-01-10 20:10:00+00:00,0.0
2015-01-10 21:10:00+00:00,0.0
2015-01-10 22:10:00+00:00,0.0
2015-01-10 23:10:00+00:00,0.0
2015-01-11 00:10:00+00:00,0.0
2015-01-11 01:10:00+00:00,0.0
2015-01-11 02:10:00+00:00,0.0
2015-01-11 03:10:00+00:00,0.0
2015-01-11 04:10:00+00:00,0.0
2015-01-11 05:10:00+00:00,0.0
2015-01-11 06:10:00+00:00,0.0
2015-01-11 07:10:00+00:00,0.0
2015-01-11 08:10:00+00:00,5.16
2015-01-11 09:10:00+00:00,111.78
2015-01-11 10:10:00+00:00,303.59
2015-01-11 11:10:00+00:00,418.9
2015-01-11 12:10:00+00:00,445.36
2015-01-11 13:10:00+00:00,409.29
2015-01-11 14:10:00+00:00,203.12
2015-01-11 15:10:00+00:00,141.37
2015-01-11 16:10:00+00:00,26.17
2015-01-11 17:10:00+00:00,0.0
2015-01-11 18:10:00+00:00,0.0
2015-01-11 19:10:00+00:00,0.0
2015-01-11 20:10:00+00:00,0.0
2015-01-11 21:10:00+00:00,0.0
2015-01-11 22:10:00+00:00,0.0
2015-01-11 23:10:00+00:00,0.0
2015-01-12 00:10:00+00:00,0.0
2015-01-12 01:10:00+00:00,0.0
2015-01-12 02:10:00+00:00,0.0
2015-01-12 03:10:00+00:00,0.0
2015-01-12 04:10:00+00:00,0.0
2015-01-12 05:10:00+00:00,0.0
2015-01-12 06:10:00+00:00,0.0
2015-01-12 07:10:00+00:00,0.0
2015-01-12 08:10:00+00:00,5.93
2015-01-12 09:10:00+00:00,187.36
2015-01-12 10:10:00+00:00,333.71
2015-01-12 11:10:00+00:00,426.22
2015-01-12 12:10:00+00:00,473.79
2015-01-12 13:10:00+00:00,451.7
2015-01-12 14:10:00+00:00,369.54
2015-01-12 15:10:00+00:00,248.71
2015-01-12 16:10:00+00:00,75.63
2015-01-12 17:10:00+00:00,0.0
2015-01-12 18:10:00+00:00,0.0
2015-01-12 19:10:00+00:00,0.0
2015-01-12 20:10:00+00:00,0.0
2015-01-12 21:10:00+00:00,0.0
2015-01-12 22:10:00+00:00,0.0
2015-01-12 23:10:00+00:00,0.0
2015-01-13 00:10:00+00:00,0.0
2015-01-13 01:10:00+00:00,0.0
2015-01-13 02:10:00+00:00,0.0
2015-01-13 03:10:00+00:00,0.0
2015-01-13 04:10:00+00:00,0.0
2015-01-13 05:10:00+00:00,0.0
2015-01-13 06:10:00+00:00,0.0
2015-01-13 07:10:00+00:00,0.0
